=== UNITY CONSOLE LOG ===
Session started: 7/14/2025 5:23:21 PM
Unity Version: 6000.0.45f1
Platform: WindowsEditor

[17:23:26.904] [4.120s] [INFO] Heuristic: No actions available
[17:23:26.925] [4.140s] [INFO] Heuristic: No actions available
[17:23:26.944] [4.160s] [INFO] Heuristic: No actions available
[17:23:26.966] [4.180s] [INFO] Heuristic: No actions available
[17:23:26.984] [4.200s] [INFO] Heuristic: No actions available
[17:23:27.005] [4.220s] [INFO] Heuristic: No actions available
[17:23:27.025] [4.240s] [INFO] Heuristic: No actions available
[17:23:27.045] [4.260s] [INFO] Heuristic: No actions available
[17:23:27.064] [4.280s] [INFO] Heuristic: No actions available
[17:23:27.085] [4.300s] [INFO] Heuristic: No actions available
[17:23:27.106] [4.320s] [INFO] Heuristic: No actions available
[17:23:27.125] [4.340s] [INFO] Heuristic: No actions available
[17:23:27.145] [4.360s] [INFO] Heuristic: No actions available
[17:23:27.165] [4.380s] [INFO] Heuristic: No actions available
[17:23:27.186] [4.400s] [INFO] Heuristic: No actions available
[17:23:27.205] [4.420s] [INFO] Heuristic: No actions available
[17:23:27.223] [4.440s] [INFO] Heuristic: No actions available
[17:23:27.245] [4.460s] [INFO] Heuristic: No actions available
[17:23:27.264] [4.480s] [INFO] Heuristic: No actions available
[17:23:27.284] [4.500s] [INFO] Heuristic: No actions available
[17:23:27.304] [4.520s] [INFO] Heuristic: No actions available
[17:23:27.325] [4.540s] [INFO] Heuristic: No actions available
[17:23:27.344] [4.560s] [INFO] Heuristic: No actions available
[17:23:27.364] [4.580s] [INFO] Heuristic: No actions available
[17:23:27.384] [4.600s] [INFO] Heuristic: No actions available
[17:23:27.404] [4.620s] [INFO] Heuristic: No actions available
[17:23:27.424] [4.640s] [INFO] Heuristic: No actions available
[17:23:27.444] [4.660s] [INFO] Heuristic: No actions available
[17:23:27.465] [4.680s] [INFO] Heuristic: No actions available
[17:23:27.483] [4.700s] [INFO] Heuristic: No actions available
[17:23:27.505] [4.720s] [INFO] Heuristic: No actions available
[17:23:27.526] [4.740s] [INFO] Heuristic: No actions available
[17:23:27.544] [4.760s] [INFO] Heuristic: No actions available
[17:23:27.564] [4.780s] [INFO] Heuristic: No actions available
[17:23:27.586] [4.800s] [INFO] Heuristic: No actions available
[17:23:27.606] [4.820s] [INFO] Heuristic: No actions available
[17:23:27.624] [4.840s] [INFO] Heuristic: No actions available
[17:23:27.645] [4.860s] [INFO] Heuristic: No actions available
[17:23:27.664] [4.880s] [INFO] Heuristic: No actions available
[17:23:27.684] [4.900s] [INFO] Heuristic: No actions available
[17:23:27.704] [4.920s] [INFO] Heuristic: No actions available
[17:23:27.724] [4.940s] [INFO] Heuristic: No actions available
[17:23:27.744] [4.960s] [INFO] Heuristic: No actions available
[17:23:27.764] [4.980s] [INFO] Heuristic: No actions available
[17:23:27.769] [4.985s] [INFO] Spawned enemy: RunnerEnemy(Clone) with tag: Enemy at position: (-8.06, 6.36, 0.00)
[17:23:27.769] [4.985s] [INFO] Enemies alive: 3
[17:23:27.770] [4.985s] [INFO] Set initial target for RunnerEnemy(Clone): Waypoint (0), total waypoints: 4
[17:23:27.770] [4.985s] [INFO] Enemy RunnerEnemy(Clone) starting movement with speed 1.8, target: Waypoint (0)
[17:23:27.773] [4.990s] [INFO] Enemy RunnerEnemy(Clone) moving to waypoint 1: Waypoint (1)
[17:23:27.784] [5.000s] [INFO] Heuristic: No actions available
[17:23:27.805] [5.020s] [INFO] Heuristic: No actions available
[17:23:27.825] [5.040s] [INFO] Heuristic: No actions available
[17:23:27.846] [5.060s] [INFO] Heuristic: No actions available
[17:23:27.865] [5.080s] [INFO] Heuristic: No actions available
[17:23:27.885] [5.100s] [INFO] Heuristic: No actions available
[17:23:27.904] [5.120s] [INFO] Heuristic: No actions available
[17:23:27.926] [5.140s] [INFO] Heuristic: No actions available
[17:23:27.945] [5.160s] [INFO] Heuristic: No actions available
[17:23:27.965] [5.180s] [INFO] Heuristic: No actions available
[17:23:27.984] [5.200s] [INFO] Heuristic: No actions available
[17:23:28.004] [5.220s] [INFO] Heuristic: No actions available
[17:23:28.024] [5.240s] [INFO] Heuristic: No actions available
